tool,timeout,benchmark,run_number,cut,tests,uncompilable,broken,failing,lines_total,lines_covered,lines_coverage_ratio,branches_total,branches_covered,branches_coverage_ratio,mutants_total,mutants_covered,mutants_coverage_ratio,mutants_killed,mutants_killed_ratio
evosuite-mo,60,SEATA-29,3,io.seata.core.rpc.DefaultServerMessageListenerImpl,9,0,3,0,68,24,35.294117,24,6,25.0,22,4,18.181818,4,18.181818
evosuite-mo,60,SPOON-155,1,spoon.support.compiler.jdt.JDTSnippetCompiler,16,0,0,0,25,19,76.0,8,7,87.5,6,0,0.0,0,0.0
evosuite-mo,60,SEATA-21,3,io.seata.core.rpc.netty.RmRpcClient,2,0,2,0,211,4,1.8957347,88,2,2.2727273,73,0,0.0,0,0.0
evosuite-mo,60,FASTJSON-31,1,com.alibaba.fastjson.serializer.ASMSerializerFactory,70,0,0,0,1364,270,19.794722,398,43,10.80402,404,70,17.326733,70,17.326733
evosuite-mo,60,FASTJSON-26,2,com.alibaba.fastjson.parser.deserializer.MapDeserializer,26,0,0,0,198,59,29.79798,126,37,29.36508,99,0,0.0,0,0.0
evosuite-mo,60,GUAVA-114,1,com.google.common.util.concurrent.AtomicDoubleArray,39,0,1,0,59,57,96.61017,14,12,85.71429,34,34,100.0,34,100.0
evosuite-mo,60,SPOON-103,1,spoon.support.reflect.code.CtAssignmentImpl,1,0,0,0,45,0,0.0,18,0,0.0,29,0,0.0,0,0.0
evosuite-mo,60,SEATA-4,2,io.seata.core.protocol.MessageFuture,16,0,0,0,22,22,100.0,10,10,100.0,13,13,100.0,13,100.0
evosuite-mo,60,GUAVA-6,2,com.google.common.base.Throwables,54,0,0,0,92,77,83.69565,38,32,84.210526,41,37,90.2439,37,90.2439
evosuite-mo,60,GUAVA-110,3,com.google.common.math.IntMath,141,0,0,0,180,175,97.22222,164,156,95.12195,126,126,100.0,126,100.0
evosuite-mo,60,SPOON-163,3,spoon.pattern.internal.node.MapEntryNode,22,0,0,0,38,31,81.57895,20,13,65.0,5,0,0.0,0,0.0
evosuite-mo,60,SPOON-151,2,spoon.support.compiler.jdt.JDTBatchCompiler,13,0,0,0,76,24,31.578945,40,12,30.000002,39,14,35.897438,14,35.897438
evosuite-mo,60,FASTJSON-9,3,com.alibaba.fastjson.parser.deserializer.JavaObjectDeserializer,12,0,1,0,19,7,36.842106,18,10,55.555557,5,0,0.0,0,0.0
evosuite-mo,60,GUAVA-85,3,com.google.common.base.CaseFormat,41,0,0,0,30,30,100.0,12,12,100.0,15,15,100.0,15,100.0
evosuite-mo,60,SEATA-15,3,io.seata.core.rpc.netty.RpcServer,1,0,0,0,102,1,0.9803922,44,0,0.0,42,0,0.0,0,0.0
evosuite-mo,60,GUAVA-6,1,com.google.common.base.Throwables,53,0,0,0,92,77,83.69565,38,32,84.210526,41,37,90.2439,37,90.2439
evosuite-mo,60,SPOON-103,3,spoon.support.reflect.code.CtAssignmentImpl,1,0,0,0,45,0,0.0,18,0,0.0,29,0,0.0,0,0.0
